[2026-04-01 15:27:29.229] [info]    : Logger initialized with level: info
[2026-04-01 15:27:29.473] [info]    : Config loaded: /Users/dashygo/Dev/Hardware/RISC/sims/../build/config.json
[2026-04-01 15:27:29.473] [info]    : DEMU Simulator Initializing...
[2026-04-01 15:27:29.473] [info] hal: --- Device Map Summary ---
[2026-04-01 15:27:29.473] [info] hal: Active Devices: 4 / 4 ports
[2026-04-01 15:27:29.473] [info] hal: Port  0: imem                 [0x00000000 - 0x0003FFFF] (  262144 bytes)
[2026-04-01 15:27:29.473] [info] hal: Port  2: uart                 [0x10000000 - 0x10000FFF] (    4096 bytes)
[2026-04-01 15:27:29.473] [info] hal: Port  3: clint                [0x20000000 - 0x2000FFFF] (   65536 bytes)
[2026-04-01 15:27:29.473] [info] hal: Port  1: dmem                 [0x80000000 - 0x8003FFFF] (  262144 bytes)
[2026-04-01 15:27:29.473] [info]    : Resetting...
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    355 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    356 | PC=0x00000030 | Inst=0xfe62ece3 (bltu    x5, x6, -8)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    359 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    360 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    361 | PC=0x00000030 | Inst=0xfe62ece3 (bltu    x5, x6, -8)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    364 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    365 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    366 | PC=0x00000030 | Inst=0xfe62ece3 (bltu    x5, x6, -8)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    369 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    370 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    371 | PC=0x00000030 | Inst=0xfe62ece3 (bltu    x5, x6, -8)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    374 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    375 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    376 | PC=0x00000030 | Inst=0xfe62ece3 (bltu    x5, x6, -8)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    379 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    380 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    382 | PC=0x00000030 | Inst=0xfe62ece3 (bltu    x5, x6, -8)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    385 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    386 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    388 | PC=0x00000030 | Inst=0xfe62ece3 (bltu    x5, x6, -8)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    391 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    392 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    394 | PC=0x00000030 | Inst=0xfe62ece3 (bltu    x5, x6, -8)
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    397 | PC=0x00000028 | Inst=0x00028023 (sb      x0, 0(x5))
[2026-04-01 15:27:29.478] [info]    : RETIRE | Cycle    398 | PC=0x0000002c | Inst=0x00128293 (addi    x5, x5, 1)
